municipality,avg_psa_fot,avg_death_ages (days),avg_inc_grp,avg_diag_to_death (days),avg_psa_total,non Swedish
Botkyrka,0.05234104619925214,29740,0.5625,1445,67.96233253802562,7
Danderyd,0.11152239465074898,31093,1.3157894736842106,1926,128.0139485692786,0
Ekerö,0.1172911136593817,27726,0.6666666666666666,1144,488.1986215759602,1
Haninge,0.039762251448323564,28624,0.6842105263157895,2613,413.56912827948844,3
Huddinge,0.019890655853808555,29056,0.7857142857142857,1336,629.5803780037298,1
Järfälla,0.13681846942675177,29309,0.6206896551724138,944,608.652089250474,6
Lidingö,0.10744363734585728,30478,1.1578947368421053,1697,127.92406930399119,1
Nacka,0.0774087101167154,28788,0.8636363636363636,1623,425.0468330617203,4
Norrtälje,0.11946698831742336,29671,0.3181818181818182,1853,218.18853792146365,3
Nykvarn,0.0,28116,0.4,2794,169.39677933409524,1
Nynäshamn,0.08235315517045455,28250,0.375,2764,93.9773194215909,0
Sigtuna,0.16764972643025927,28089,0.6,1955,177.22530722111551,3
Sollentuna,0.147128924923413,30308,0.5217391304347826,966,105.82548211267228,3
Solna,0.16781225027648833,30679,0.7241379310344828,1840,286.3436012077941,3
Stockholm,0.08521291822482087,29485,0.8333333333333334,1268,247.59646841711316,29
Sundbyberg,0.20342560116415354,28790,0.5789473684210527,1391,198.5549388796083,4
Södertälje,0.033345674218402344,28994,0.48148148148148145,1217,201.966092834528,6
Tyresö,0.034129380016129036,29945,0.8,1599,82.91273613066448,2
Täby,0.12311370819086115,28946,1.1,1052,299.63117431281984,2
Upplands Väsby,0.18607312497850528,28591,0.5625,1300,272.0631953051644,4
Upplands-Bro,0.16711714551767679,30388,1.125,1242,847.4070584974495,1
Vallentuna,0.12823282546609294,29184,0.45454545454545453,1264,206.71738587831567,0
Vaxholm,0.15328919424603174,29534,0.8333333333333334,2093,235.01725226611111,0
Värmdö,0.05978373737103175,29001,1.1,1835,458.422021882875,1
Österåker,0.10722558386436154,28984,1.1428571428571428,916,201.96047969149535,1